Species,Dataset,File Name,Streptomycin,Vancomycin,Ceftriaxone,Oxacillin,Clindamycin,Fusidic acid,Erythromycin,Linezolid,Methicillin,Gentamicin,Trimethoprim-Sulfamethoxazole,Ciprofloxacin,Tetracycline,Chloramphenicol,Penicillin,Trimethoprim,Daptomycin,Cefoxitin,Amikacin,Ampicillin-Sulbactam,Cefepime,Cefotaxime,Ceftazidime,Colistin,Doripenem,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Polymyxin_B,Tigecycline,Tobramycin,Ampicillin,Amoxicillin-Clavulanic acid,Azithromycin,Sulfisoxazole,Kanamycin,Nalidixic acid,Ceftiofur,Capreomycin,Clarithromycin,Clofazimine,Cycloserine,Ethambutol,Ethionamide,Gatifloxacin,Isoniazid,Nicotinamide,Ofloxacin,para-aminosalicylic acid,Prothionamide,Pyrazinamide,Rifabutin,Rifampicin,Aztreonam,Cefuroxime,Piperacillin-Tazobactam
Staphylococcus aureus,PRJNA633996,11A746.fna,,S,,R,R,,R,S,,S,S,I,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A819.fna,,S,,R,R,,R,S,,S,S,R,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A832.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A871.fna,,S,,R,R,,R,S,,S,S,S,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A914.fna,,S,,R,R,,R,S,,S,S,I,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A934.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A941.fna,,S,,R,R,,R,S,,S,S,S,R,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A943.fna,,S,,R,R,,R,S,,S,S,S,S,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A96.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A967.fna,,S,,R,R,,R,S,,S,S,S,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A100.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A123.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A125.fna,,S,,S,S,,S,S,,S,S,I,S,S,R,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A140.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A141.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A164.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A169.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A192.fna,,S,,R,R,,R,S,,S,S,S,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A193.fna,,S,,R,R,,R,S,,S,S,S,I,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A201.fna,,S,,R,S,,R,S,,S,S,R,S,S,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A202.fna,,S,,R,S,,R,S,,S,S,S,S,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A203.fna,,S,,R,R,,R,S,,S,S,I,S,S,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A228.fna,,S,,R,R,,R,S,,S,S,S,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A234.fna,,S,,R,R,,R,S,,S,S,I,I,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A236.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A245.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A25.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A251.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A26.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A27.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A270.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A272.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A28.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A29.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A30.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A31.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A40.fna,,S,,R,S,,R,S,,S,R,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A52.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A69.fna,,S,,R,R,,R,S,,S,S,I,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A87.fna,,S,,R,R,,R,S,,S,S,S,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,18A88.fna,,S,,R,R,,R,S,,S,S,S,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA001.fna,,S,,R,R,,R,S,,S,S,I,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA002.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA003.fna,,S,,R,R,,R,S,,S,S,I,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA004.fna,,S,,R,R,,I,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA005.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA006.fna,,S,,R,R,,R,S,,I,S,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA007.fna,,S,,R,R,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA008.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA009.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA012.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA014.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA015.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA017.fna,,S,,R,R,,S,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA019.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA020.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA021.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA022.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA023.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA024.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA025.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA026.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA027.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA028.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA029.fna,,S,,R,R,,R,S,,S,R,R,R,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA031.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA032.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA033.fna,,S,,R,R,,R,S,,R,R,R,I,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA035.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA036.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA037.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA038.fna,,S,,R,I,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA039.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA040.fna,,S,,R,R,,R,S,,S,R,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA041.fna,,S,,R,S,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA043.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA044.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA045.fna,,S,,R,R,,R,S,,S,R,I,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA046.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA047.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA048.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA049.fna,,S,,R,R,,R,S,,R,R,R,I,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA050.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA051.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA052.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA054.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA055.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA056.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA059.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA060.fna,,S,,R,R,,R,S,,S,S,S,S,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA063.fna,,S,,R,R,,R,S,,S,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA069.fna,,S,,R,R,,R,S,,S,S,R,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA12SA070.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA002.fna,,S,,R,R,,R,S,,I,S,S,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA003.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA004.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA005.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA006.fna,,S,,R,R,,S,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA007.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA008.fna,,S,,R,R,,R,S,,R,R,R,R,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA009.fna,,S,,R,S,,S,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA010.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA011.fna,,S,,R,R,,R,S,,R,S,S,S,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA012.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA013.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA014.fna,,S,,R,R,,R,S,,I,R,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA015.fna,,S,,R,R,,R,S,,R,S,R,R,I,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,CFSA13SA016.fna,,S,,R,R,,R,S,,I,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
