Species,Dataset,File Name,Erythromycin,Methicillin,Ciprofloxacin,Clindamycin,Penicillin,clusters,split
Staphylococcus aureus,PRJNA633996,11A96.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,11A967.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A100.fna,S,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,18A123.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A125.fna,S,,I,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A140.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,18A141.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,18A164.fna,S,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,18A169.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,18A192.fna,R,,S,R,R,3,train
Staphylococcus aureus,PRJNA633996,18A193.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A201.fna,R,,R,S,R,3,train
Staphylococcus aureus,PRJNA633996,18A202.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,18A203.fna,R,,I,R,R,3,train
Staphylococcus aureus,PRJNA633996,18A228.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A234.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A236.fna,R,,S,S,R,7,test
Staphylococcus aureus,PRJNA633996,18A245.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A25.fna,R,,S,S,R,9,test
Staphylococcus aureus,PRJNA633996,18A251.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A26.fna,R,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,18A27.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A270.fna,R,,S,S,R,28,train
Staphylococcus aureus,PRJNA633996,18A272.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A28.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A29.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A30.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A31.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,18A40.fna,R,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,18A52.fna,R,,S,R,R,8,train
Staphylococcus aureus,PRJNA633996,18A69.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A87.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,18A88.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA001.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA002.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA003.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA004.fna,I,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA005.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA006.fna,R,,R,R,R,180,test
Staphylococcus aureus,PRJNA633996,CFSA12SA007.fna,S,,S,R,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA12SA008.fna,R,,S,R,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA12SA009.fna,R,,S,R,R,28,train
Staphylococcus aureus,PRJNA633996,CFSA12SA012.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA014.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA015.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA017.fna,S,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA019.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA020.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA021.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA022.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA023.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA024.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA025.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA026.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA027.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA028.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA029.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA031.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA032.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA033.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA035.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA036.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA037.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA038.fna,R,,R,I,R,126,test
Staphylococcus aureus,PRJNA633996,CFSA12SA039.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA040.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA041.fna,R,,R,S,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA043.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA044.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA045.fna,R,,I,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA046.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA047.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA048.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA049.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA050.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA051.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA052.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA054.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA055.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA056.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA059.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA12SA060.fna,R,,S,R,R,53,train
Staphylococcus aureus,PRJNA633996,CFSA12SA063.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA069.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA12SA070.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA002.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA003.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA004.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA005.fna,R,,S,R,R,141,test
Staphylococcus aureus,PRJNA633996,CFSA13SA006.fna,S,,S,R,R,141,test
Staphylococcus aureus,PRJNA633996,CFSA13SA007.fna,R,,S,R,R,141,test
Staphylococcus aureus,PRJNA633996,CFSA13SA008.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA009.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA13SA010.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA011.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA13SA012.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA13SA013.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA014.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA015.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA016.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA017.fna,R,,R,R,R,32,train
Staphylococcus aureus,PRJNA633996,CFSA13SA019.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA021.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA022.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA023.fna,R,,S,R,R,28,train
Staphylococcus aureus,PRJNA633996,CFSA13SA024.fna,R,,R,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA13SA025.fna,S,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA13SA026.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA027.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA028.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA029.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA030.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA031.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA032.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA033.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA034.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA035.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA036.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA037.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA13SA038.fna,R,,S,R,R,28,train
Staphylococcus aureus,PRJNA633996,CFSA13SA039.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA13SA040.fna,S,,S,S,R,174,train
Staphylococcus aureus,PRJNA633996,CFSA13SA041.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA13SA042.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA001.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA002.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA003.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA005.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA006.fna,S,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA14SA007.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA008.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA009.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA010.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA011.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA012.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA013.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA014.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA015.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA14SA016.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA017.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA14SA018.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA019.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA14SA020.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA021.fna,R,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,CFSA14SA022.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA023.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA024.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA025.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA026.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA027.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA028.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA029.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA030.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA031.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA032.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA033.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA034.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA035.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA036.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA037.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA038.fna,S,,S,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA14SA039.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA040.fna,R,,S,S,R,7,test
Staphylococcus aureus,PRJNA633996,CFSA14SA041.fna,R,,S,S,R,7,test
Staphylococcus aureus,PRJNA633996,CFSA14SA042.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA14SA043.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA001.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA002.fna,R,,S,R,R,32,train
Staphylococcus aureus,PRJNA633996,CFSA15SA003.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA004.fna,R,,S,R,R,182,train
Staphylococcus aureus,PRJNA633996,CFSA15SA005.fna,R,,R,R,R,182,train
Staphylococcus aureus,PRJNA633996,CFSA15SA006.fna,R,,R,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA007.fna,R,,R,R,R,28,train
Staphylococcus aureus,PRJNA633996,CFSA15SA008.fna,R,,R,R,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA009.fna,R,,R,R,R,9,test
Staphylococcus aureus,PRJNA633996,CFSA15SA010.fna,R,,R,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA011.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA012.fna,R,,S,R,R,47,train
Staphylococcus aureus,PRJNA633996,CFSA15SA013.fna,R,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA014.fna,R,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA015.fna,R,,I,R,R,27,train
Staphylococcus aureus,PRJNA633996,CFSA15SA016.fna,S,,S,S,S,42,test
Staphylococcus aureus,PRJNA633996,CFSA15SA017.fna,R,,S,R,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA018.fna,R,,R,R,R,16,train
Staphylococcus aureus,PRJNA633996,CFSA15SA019.fna,R,,R,R,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA020.fna,R,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA021.fna,S,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA022.fna,S,,S,S,S,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA023.fna,R,,I,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA024.fna,S,,S,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA025.fna,R,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA026.fna,R,,R,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA027.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA028.fna,R,,I,R,R,28,train
Staphylococcus aureus,PRJNA633996,CFSA15SA029.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA030.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA031.fna,R,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA032.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA033.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA034.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA035.fna,R,,S,R,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA036.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA037.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA038.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA039.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA040.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA041.fna,R,,R,R,R,16,train
Staphylococcus aureus,PRJNA633996,CFSA15SA042.fna,R,,R,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA043.fna,R,,S,R,R,6,train
Staphylococcus aureus,PRJNA633996,CFSA15SA044.fna,R,,R,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA045.fna,R,,S,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA046.fna,R,,R,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA047.fna,R,,S,S,S,124,train
Staphylococcus aureus,PRJNA633996,CFSA15SA048.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA050.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA051.fna,R,,R,R,R,385,train
Staphylococcus aureus,PRJNA633996,CFSA15SA052.fna,S,,I,S,S,32,train
Staphylococcus aureus,PRJNA633996,CFSA15SA053.fna,R,,I,R,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA054.fna,S,,I,S,R,124,train
Staphylococcus aureus,PRJNA633996,CFSA15SA055.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA056.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA057.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA058.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA059.fna,R,,I,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA060.fna,S,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA061.fna,R,,R,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA063.fna,R,,R,R,R,63,train
Staphylococcus aureus,PRJNA633996,CFSA15SA064.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA065.fna,S,,S,S,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA066.fna,R,,R,R,S,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA067.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA068.fna,S,,S,S,R,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA069.fna,S,,S,S,S,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA070.fna,R,,S,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA071.fna,R,,S,R,R,12,train
Staphylococcus aureus,PRJNA633996,CFSA15SA072.fna,R,,R,R,R,47,train
Staphylococcus aureus,PRJNA633996,CFSA15SA073.fna,R,,I,S,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA074.fna,S,,I,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA075.fna,I,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA076.fna,R,,S,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA077.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA078.fna,R,,S,S,R,86,train
Staphylococcus aureus,PRJNA633996,CFSA15SA079.fna,R,,R,R,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA080.fna,R,,S,R,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA082.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA083.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA084.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA085.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA086.fna,R,,S,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA087.fna,R,,I,I,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA088.fna,R,,R,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA089.fna,R,,I,R,R,47,train
Staphylococcus aureus,PRJNA633996,CFSA15SA090.fna,R,,S,R,S,31,train
Staphylococcus aureus,PRJNA633996,CFSA15SA091.fna,R,,S,R,R,47,train
Staphylococcus aureus,PRJNA633996,CFSA15SA092.fna,R,,S,S,R,231,train
Staphylococcus aureus,PRJNA633996,CFSA15SA093.fna,S,,S,S,R,12,train
Staphylococcus aureus,PRJNA633996,CFSA15SA095.fna,R,,S,R,R,32,train
Staphylococcus aureus,PRJNA633996,CFSA15SA096.fna,S,,S,S,R,47,train
Staphylococcus aureus,PRJNA633996,CFSA15SA097.fna,S,,I,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA098.fna,R,,I,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA099.fna,S,,S,S,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA100.fna,S,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA101.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA102.fna,R,,S,S,R,192,train
Staphylococcus aureus,PRJNA633996,CFSA15SA103.fna,R,,S,R,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA104.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA105.fna,R,,S,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA106.fna,R,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA107.fna,R,,S,R,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA108.fna,R,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA109.fna,R,,I,R,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA110.fna,S,,S,S,R,419,train
Staphylococcus aureus,PRJNA633996,CFSA15SA111.fna,S,,S,S,S,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA112.fna,S,,S,S,S,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA113.fna,R,,I,S,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA114.fna,R,,I,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA115.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,CFSA15SA116.fna,R,,S,R,R,320,test
Staphylococcus aureus,PRJNA633996,CFSA15SA117.fna,R,,S,S,R,32,train
Staphylococcus aureus,PRJNA633996,CFSA15SA118.fna,R,,S,R,R,5,train
Staphylococcus aureus,PRJNA633996,CFSA15SA119.fna,R,,I,S,R,3,train
Staphylococcus aureus,PRJNA633996,CFSA15SA120.fna,R,,S,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA121.fna,S,,S,S,R,32,train
Staphylococcus aureus,PRJNA633996,CFSA15SA122.fna,R,,S,R,R,412,test
Staphylococcus aureus,PRJNA633996,CFSA15SA123.fna,R,,S,R,R,124,train
Staphylococcus aureus,PRJNA633996,CFSA15SA124.fna,R,,S,S,R,2,train
Staphylococcus aureus,PRJNA633996,CFSA15SA125.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA126.fna,I,,R,S,R,4,train
Staphylococcus aureus,PRJNA633996,CFSA15SA127.fna,S,,S,S,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA129.fna,R,,I,R,R,6,train
Staphylococcus aureus,PRJNA633996,CFSA15SA131.fna,R,,R,R,R,8,train
Staphylococcus aureus,PRJNA633996,CFSA15SA132.fna,R,,S,R,R,5,train
